id,competitor,category,license,price_per_seat_usd,company_status,latest_funding_usd_m,latest_round,latest_round_year,tier,source_url,notes
vasp,VASP,DFT plane-wave solver,Commercial,4500,Private (Vienna),,,,verified,https://www.vasp.at/info/legal/,"$4500/yr academic; commercial multi-tier. Austrian-held; geopolitical sovereignty concern for US/UK/India users."
qe,Quantum ESPRESSO,DFT plane-wave solver,GPL,0,Open foundation,,,,verified,https://www.quantum-espresso.org/,"Free; large user community in academia. Fortran codebase from 2002."
abinit,ABINIT,DFT plane-wave solver,GPL,0,Open consortium,,,,verified,https://www.abinit.org/,"Free; multi-institution consortium. Strong in Europe."
gpaw,GPAW,DFT real-space solver,GPL,0,Open foundation,,,,verified,https://wiki.fysik.dtu.dk/gpaw/,"Python/C; tight ASE integration; mature Bayesian error estimation."
lammps,LAMMPS,Molecular dynamics,GPL,0,National lab (SNL),,,,verified,https://www.lammps.org/,"Sandia-led; first release 1995; the de facto MD engine."
gromacs,GROMACS,Molecular dynamics (biomolecular),GPL,0,Open foundation,,,,verified,https://www.gromacs.org/,"Biomolecular focus; not direct competitor but overlaps in HPC ecosystem."
openmm,OpenMM,Molecular dynamics,MIT,0,Open / Stanford,,,,verified,https://openmm.org/,"GPU-first MD; partial ML potential support."
mace,MACE,ML interatomic potential,MIT,0,Open / Cambridge,,,,verified,https://github.com/ACEsuit/mace,"Equivariant message-passing; current SOTA accuracy for many systems."
nequip,NequIP,ML interatomic potential,MIT,0,Open / Harvard,,,,verified,https://github.com/mir-group/nequip,"E(3)-equivariant; foundational architecture."
allegro,Allegro,ML interatomic potential,MIT,0,Open / Harvard,,,,verified,https://github.com/mir-group/allegro,"Local equivariant; better scaling than NequIP."
mattersim,MatterSim,Foundation MLIP,MIT,0,Microsoft Research,,,,verified,https://github.com/microsoft/mattersim,"Microsoft-backed; DFT accuracy across >10K materials."
orb,ORB,Foundation MLIP,Apache 2.0,0,Orbital Materials (Series A),20,Series A,2024,verified,https://orbitalmaterials.com/,"Orbital Materials raised $20M Series A in 2024; ORB v3 highest-ranked uMLIP."
sevennet,SevenNet,Foundation MLIP,Apache 2.0,0,Open / SNU,,,,verified,https://github.com/MDIL-SNU/SevenNet,"Top-tier accuracy with favorable computational scaling."
omat24,OMat24,Foundation MLIP,MIT,0,Meta AI,,,,verified,https://github.com/facebookresearch/fairchem,"Meta AI release 2024; high accuracy but steep cost scaling."
materials-project,Materials Project,Database + workflow,Mixed,0,National lab (LBNL),,,,verified,https://next-gen.materialsproject.org/,"DOE BES core funding + NERSC; pymatgen ecosystem; not commercial."
ovito,OVITO Pro,MD visualization,Commercial,1200,Private (OVITO GmbH),,,,verified,https://www.ovito.org/about/ovito-pro/,"$1200/yr per seat; academic discount; Lupine View targets this directly."
schrodinger,Schrodinger Materials Science,Materials simulation suite,Commercial,15000,Public (NASDAQ:SDGR),,,,disclosed,https://www.schrodinger.com/,"Public company; $80M materials segment FY24; aggressive pharma/materials hybrid strategy."
citrine,Citrine Informatics,Materials informatics SaaS,Commercial,,Private (Series C),100,Series C,2022,disclosed,https://citrine.io/,"Cumulative ~$100M raised; sequential learning + ML for materials design; enterprise focus."
exabyte-mat3ra,Mat3ra (Exabyte.io),Cloud materials platform,Commercial,,Private (Seed/A),,,,triangulated,https://mat3ra.com/,"Cloud workflow orchestration + DFT/MD; smaller scale than Citrine."
materialsplus,Materials Square / Materials+,Cloud DFT,SaaS,,Private,,,,triangulated,https://www.materialssquare.com/,"Korea-based cloud DFT SaaS; consumer-style pricing."
microsoft-azure-quantum,Azure Quantum Elements,Hyperscaler materials suite,Commercial,,Public (NASDAQ:MSFT),,,,disclosed,https://azure.microsoft.com/en-us/products/quantum,"Microsoft launched 2023; hyperscaler bundle including DFT/ML/quantum simulation."
ibm-rxn,IBM RXN / Materials,Hyperscaler chemistry suite,Commercial,,Public (NYSE:IBM),,,,disclosed,https://www.research.ibm.com/,"IBM Research materials/chemistry tooling; less commercial pressure than MS."
google-deepmind-gnome,DeepMind GNoME / AlphaFold for materials,Foundation discovery,Internal,,Public (NASDAQ:GOOGL),,,,disclosed,https://deepmind.google/discover/blog/millions-of-new-materials-discovered-with-deep-learning/,"GNoME + AlphaFold-3 trajectory; not yet a productized offering for external customers."
