id,line_item,fy2026,fy2027,fy2028,fy2029,fy2030,unit,tier,notes
hc-eng,Engineering FTEs,4,8,14,22,32,FTE,projection,"Rust + ML systems engineers; staff scientists; performance engineering"
hc-science,Research scientist FTEs,2,3,5,7,9,FTE,projection,"PhD physics/CS; benchmark + paper authoring + customer science"
hc-gtm,GTM + customer FTEs,1,3,6,10,15,FTE,projection,"Sales engineering + customer success; ramps with paid pilots"
hc-ops,Operations + finance FTEs,1,2,3,4,5,FTE,projection,"COO + finance/legal + recruiting"
hc-total,Total FTEs,8,16,28,43,61,FTE,projection,"Sum of above"
rev-academic,Academic ACV revenue,50,300,800,1500,2400,USD k,projection,"10 -> 60 -> 160 -> 300 -> 480 paying groups at $5K avg"
rev-industry-pilot,Industry pilot revenue,300,1500,3000,4500,6000,USD k,projection,"2 -> 10 -> 20 -> 30 -> 40 pilots at $150K"
rev-industry-prod,Industry production revenue,0,750,3750,9000,18000,USD k,projection,"Pilot conversion: 0 -> 1 -> 5 -> 12 -> 24 production deployments at $750K avg"
rev-industry-ent,Industry enterprise revenue,0,0,1500,4500,9000,USD k,projection,"0 -> 0 -> 1 -> 3 -> 6 top-tier deployments at $1.5M"
rev-defense,Federal / defense program revenue,0,1000,4000,8000,12000,USD k,projection,"0 -> 0.5 -> 2 -> 4 -> 6 program-equivalents at $2M each"
rev-managed-compute,Managed compute pass-through margin,0,150,600,1500,3000,USD k,projection,"55% margin on cloud passthrough; scales with deployed customers"
rev-total,Total revenue,350,3700,13650,29000,50400,USD k,projection,"Sum; FY26 is grant + 1 pilot, FY30 is real scale"
cogs-cloud,Cloud + infra COGS,90,520,1750,3700,6000,USD k,projection,"~12% of revenue blended; lower at scale"
cogs-customer-success,Customer success COGS,60,400,1200,2400,3600,USD k,projection,"~8% of revenue; included in GM"
gross-margin-pct,Blended gross margin %,57,75,78,79,81,percent,projection,"Approaches pure-software margins as managed compute share declines and academic mass scales"
gross-profit,Gross profit,200,2780,10700,22900,40800,USD k,projection,"rev - cogs"
opex-rd,R&D opex (people + tooling),1700,3200,5500,8500,12000,USD k,projection,"Engineering + science FTEs at $250-275K loaded; tooling + cloud R&D"
opex-gtm,GTM opex (people + marketing + travel),300,900,1800,3000,4500,USD k,projection,"Sales engineering + brand + conference + paid pilots cost"
opex-ga,G&A opex,300,500,800,1200,1800,USD k,projection,"Founder + ops + legal + accounting + recruiting"
opex-total,Total opex,2300,4600,8100,12700,18300,USD k,projection,"Sum"
ebitda,EBITDA,-2100,-1820,2600,10200,22500,USD k,projection,"Crosses break-even FY28"
cash-burn,Net cash burn (negative = burn),-2200,-1900,2400,9800,21800,USD k,projection,"Approximated EBITDA minus capex/working cap"
cash-balance-end,Cash balance end of year (assumes 8M raise FY26),5800,3900,6300,16100,37900,USD k,projection,"Mid-point of $5-10M seed; assumes no further raise"
arr-end,Ending ARR,800,5200,18500,38500,65000,USD k,projection,"Bookings-anchored; ARR expansion from year-2 pilot conversion"
