id,unlock,materials_layer,classical_baseline_usd_t,quantum_uplift_x,quantum_addressable_usd_t,year_at_scale,reference_program,tier,notes
fault-tolerant-qubits,Fault-tolerant quantum computing substrate,Ultra-pure silicon + topological SC + novel qubit materials,0.5,40,20,2050,"Google Willow (Dec 2024 below-threshold error correction); IBM Heron + Condor; Microsoft Majorana 1; PsiQuantum manufacturing roadmap","verified","The audit substrate becomes structurally critical because qubit materials demand atom-scale defect tolerance. Once FTQC is real at scale (10^4-10^6 logical qubits) the entire ~$5T compute industry restacks on top of it; hardware materials are the gating substrate."
room-temp-superconductors,Room-temperature superconductors,High-Tc + ambient-pressure SC chemistry,0.3,60,18,2055,"DOE Basic Energy Sciences SC program; LK-99 replication efforts (failed but signaled appetite); CDQ + cuprate research lineage","triangulated","Lossless power transmission rebuilds the entire energy grid (~$2T/yr globally), enables maglev transport, fundamentally rearchitects datacenter cooling, makes commercial fusion magnets cheap."
quantum-batteries,Quantum batteries + entangled charge storage,Coherent charge-storage materials,0.4,12,5,2055,"IBM Q + Berkeley quantum battery research; theoretical 100x charging speed at unitary limits","triangulated","100x faster charging + theoretical 100% efficiency restructures EVs ($2T/yr 2040), grid storage ($1T/yr), and consumer electronics. Quantum batteries are quantum-engineered materials, not chemistry tweaks."
fusion-commercial,Commercial fusion materials,High-Tc SC magnets + first-wall alloys + tritium-handling materials,0.2,50,10,2045,"Commonwealth Fusion Systems SPARC; Helion Polaris; ITER; UK STEP program; ~$8B private fusion investment 2023","disclosed","Commercial fusion = $50T cumulative energy market replacement over 50 years. Materials are gating: REBCO superconducting tape, tungsten + ferritic steel first-wall, lithium tritium breeders. The audit substrate decides what works in extreme environments where empirical iteration is too slow / too dangerous."
quantum-sensors-medicine,Quantum sensors for medicine,NV-center magnetometers + atomic clocks + single-molecule sensitivity,0.25,16,4,2045,"NIST quantum sensing program; multiple academic groups (Harvard, MIT, MPI Stuttgart); FDA-track companies","triangulated","Single-molecule diagnostic sensitivity changes drug development entirely — cell-level imaging, real-time pharmacokinetics, clinical trial cycle compression. Quantum-engineered diagnostic materials gate the unlock."
photovoltaics-quantum-limit,Quantum-limit photovoltaics,Multi-junction quantum dot + perovskite tandems,0.15,20,3,2045,"NREL theoretical efficiency roadmap; OxPV + First Solar perovskite programs; Tandem Group","triangulated","Approaching the 50%+ theoretical Shockley-Queisser-multi-junction limit (vs 22% mainstream silicon today) doubles solar economic output without doubling land. Quantum-engineered absorber materials gate."
spintronics-magnonics,Spintronics + magnonics post-CMOS,Topological insulators + magnonic crystals + spin-orbit materials,0.8,15,12,2050,"DARPA TBONE program; Intel + IMEC topological roadmap; Ashoori MIT","verified","Post-CMOS computing at 10x energy efficiency. Eventually replaces silicon at the leading edge of compute (~$1.5T/yr semi industry). Topological materials are pure quantum-physics-engineered."
catalysts-quantum-chem,Quantum-chemistry-designed catalysts,Single-atom catalysts + enzyme-mimetic frameworks,0.3,12,3.6,2045,"DOE Catalysis Innovation Hub; ARPA-E CATALCHEM-E; ExxonMobil + BASF programs","triangulated","DAC at $50/ton (vs $600), green hydrogen at $1/kg (vs $5), green ammonia, plastic upcycling. Quantum chemistry simulation (and the audit layer that validates it) is what designs these atom-economy-perfect catalysts."
biocompatible-quantum,Quantum-engineered biocompatible interfaces,Programmable cell-machine interfaces + neural lace materials,0.18,10,1.8,2050,"Neuralink + Synchron precursors; DARPA BTO; quantum-bio interface research at MIT/Harvard","directional","Quantum sensing materials at the neural interface enable bandwidth orders of magnitude above electrode arrays. Brain-computer interface market projected $400B by 2050; materials are the gating substrate."
food-bio-substrates,Quantum-designed bio-substrates,Cell-cultured meat scaffolds + custom protein folding scaffolds,0.4,5,2,2050,"BCG synbio quantum chemistry; Mosa Meat / Eat Just industrialization; CRISPR + AlphaFold lineage","directional","Quantum-chemistry-aided protein design + scaffold materials industrialize cell-cultured food + custom enzymes for industrial chemistry."
total-quantum-addressable,Total quantum-enabled addressable,All quantum unlocks combined,3.48,22.7,79.4,2055,"Sum of above; weighted average uplift ~22.7x classical baseline","triangulated","~$80T/yr of addressable economic activity at quantum-materials maturity (2055-2065). 20x the $4T classical phase-4 baseline. The audit substrate is what makes this economy trustworthy."
