id,line_item,fy2026,fy2027,fy2028,fy2029,fy2030,fy2031,fy2032,unit,tier,notes
sector-unlock-compute,Compute sector accelerated value unlock,2.0,4.8,10.0,18.0,28.0,34.0,38.0,USD B,projection,"Compute mature unlock $40B/yr (data:materials_acceleration_economics.csv:total-compute-unlock-2030); ramp 5%->12%->25%->45%->70%->85%->95%"
sector-unlock-travel,Travel sector accelerated value unlock,3.1,7.8,17.2,35.1,54.6,66.3,74.1,USD B,projection,"Travel mature unlock $78B/yr; same ramp curve; rounding to nearest 0.1B"
sector-unlock-bio,Bio sector accelerated value unlock,0.7,2.0,5.0,10.0,16.5,22.4,27.1,USD B,projection,"Bio mature unlock $33B/yr; slower ramp 2%->6%->15%->30%->50%->68%->82%"
sector-unlock-total,Total annual sector value unlock,5.8,14.6,32.2,63.1,99.1,122.7,139.2,USD B,projection,"Sum of three sectors"
lupine-penetration-pct,Lupine penetration of edge materials simulation work,0.10,0.30,0.70,1.50,2.50,3.50,4.50,percent,projection,"Share of materials simulation that Lupine is the primary engine for; conservative ramp"
lupine-attributed-unlock,Lupine-attributed value unlock,5.8,43.8,225.4,946.5,2477.5,4294.5,6264.0,USD M,projection,"sector-unlock-total x lupine-penetration-pct"
rev-saas-academic,Subscription academic + Tier 1/2,0.05,0.30,0.80,1.50,2.40,3.50,4.80,USD M,projection,"Open-core community to paid academic conversion; same as v1 base"
rev-pilots,Industry paid pilots,0.30,1.50,3.00,4.50,6.00,7.50,9.00,USD M,projection,"$150K Phase 1 pilots; 2 -> 10 -> 20 -> 30 -> 40 -> 50 -> 60 in flight"
rev-production,Industry production licensing,0.00,0.75,3.75,9.00,18.00,30.00,45.00,USD M,projection,"$750K avg production ACV; 0 -> 1 -> 5 -> 12 -> 24 -> 40 -> 60 customers"
rev-enterprise,Industry enterprise (top-tier),0.00,0.00,1.50,4.50,9.00,15.00,22.50,USD M,projection,"$1.5M avg enterprise ACV; aerospace primes + leading foundries"
rev-sponsored-research,Sponsored research / co-development,0.00,0.50,2.00,4.00,7.00,10.00,13.00,USD M,projection,"$500K-$2M co-development engagements; ~5 -> 10 -> 15 -> 20 active"
rev-federal-direct,Federal direct contracts,0.00,1.00,4.00,8.00,12.00,15.00,18.00,USD M,projection,"DARPA/DOE/NSF/ARPA-E direct contracts; 0 -> 0.5 -> 2 -> 4 -> 6 -> 7.5 -> 9 program-equivalents at $2M each"
rev-managed-compute,Managed compute (margin only),0.00,0.15,0.60,1.50,3.00,4.50,6.00,USD M,projection,"55% margin on cloud passthrough"
rev-performance-contract,Performance / royalty / equity capture,0.00,0.00,0.50,2.00,5.00,9.00,15.00,USD M,projection,"Begins FY28; ramps with mature customer relationships; outcome contracts + battery/biotech equity"
rev-total,Total revenue,0.35,4.20,16.15,35.00,62.40,94.50,133.30,USD M,projection,"Sum of revenue lines"
rev-pct-of-attributed,Revenue / Lupine-attributed unlock,6.0,9.6,7.2,3.7,2.5,2.2,2.1,percent,projection,"Sustained ratio in 2-5% mature range; consistent with EDA / Schrodinger software-of-record economics"
gross-margin,Blended gross margin,57,72,76,79,80,81,82,percent,projection,"Approaches pure-software 85% as managed compute share drops"
gross-profit,Gross profit,0.20,3.02,12.27,27.65,49.92,76.55,109.30,USD M,projection,"rev-total x gross-margin"
hc-total,Total FTEs,8,16,28,43,61,82,108,FTE,projection,"Hiring per use-of-funds plan"
opex-rd,R&D opex,1.70,3.20,5.50,8.50,12.00,16.00,21.00,USD M,projection,"Engineering + science staff; loaded $250-275K"
opex-gtm,GTM opex,0.30,0.90,1.80,3.00,4.50,6.50,9.00,USD M,projection,"Sales engineering + brand + travel"
opex-ga,G&A opex,0.30,0.50,0.80,1.20,1.80,2.50,3.50,USD M,projection,"Founder + ops + legal + recruiting"
opex-total,Total opex,2.30,4.60,8.10,12.70,18.30,25.00,33.50,USD M,projection,"Sum"
ebit,EBIT,-2.10,-1.58,4.17,14.95,31.62,51.55,75.80,USD M,projection,"Gross profit minus opex"
ebit-margin,EBIT margin,-600,-38,26,43,51,55,57,percent,projection,"Crosses break-even FY28; expanding margin profile"
tax-rate,Tax rate,0,0,21,21,21,21,21,percent,projection,"Pre-NOL FY26-27; standard FY28+"
nopat,NOPAT,-2.10,-1.58,3.29,11.81,24.98,40.72,59.88,USD M,projection,"EBIT x (1 - tax)"
da,D&A,0.10,0.20,0.40,0.70,1.10,1.60,2.20,USD M,projection,"Mostly amortization of internally developed software + minor PP&E"
capex,CapEx,0.20,0.30,0.50,0.80,1.20,1.70,2.30,USD M,projection,"Lab + dev hardware + minor real estate; remote-first"
nwc-change,Change in NWC,0.05,0.40,1.20,2.50,4.50,6.50,9.00,USD M,projection,"~7-8% of revenue change; subscription billing + DSO"
fcf,Unlevered free cash flow,-2.25,-2.08,1.99,9.21,20.38,34.12,50.78,USD M,projection,"NOPAT + D&A - CapEx - dNWC"
