element,structure,a0_PBE_A,C11_PBE,C12_PBE,C44_PBE,a0_r2SCAN_A,C11_r2SCAN,C12_r2SCAN,C44_r2SCAN,delta_C11,delta_C12,delta_C44
Ag,fcc,4.09,123.0,92.0,46.0,4.06,131.0,96.0,51.0,8.0,4.0,5.0
Al,fcc,4.05,106.3,60.2,28.4,4.02,114.0,62.0,32.0,7.7,1.8,3.6
Au,fcc,4.18,185.0,157.0,42.0,4.15,198.0,162.0,48.0,13.0,5.0,6.0
Cr,bcc,2.88,350.0,67.0,101.0,2.86,368.0,70.0,106.0,18.0,3.0,5.0
Cu,fcc,3.6,168.0,121.4,75.4,3.57,176.0,124.0,82.0,8.0,2.6,6.6
Fe,bcc,2.83,230.0,135.0,118.0,2.81,242.0,138.0,122.0,12.0,3.0,4.0
Mo,bcc,3.15,464.0,158.0,109.0,3.13,478.0,162.0,113.0,14.0,4.0,4.0
Nb,bcc,3.3,246.0,134.0,29.0,3.28,252.0,138.0,31.0,6.0,4.0,2.0
Ni,fcc,3.52,247.0,148.0,124.0,3.49,261.0,153.0,132.0,14.0,5.0,8.0
Pb,fcc,4.95,49.0,42.0,15.0,4.92,52.0,43.0,17.0,3.0,1.0,2.0
Pd,fcc,3.89,234.0,176.0,71.0,3.86,245.0,181.0,77.0,11.0,5.0,6.0
Pt,fcc,3.97,346.0,250.0,76.0,3.94,362.0,255.0,82.0,16.0,5.0,6.0
Ta,bcc,3.3,266.0,158.0,87.0,3.28,272.0,162.0,91.0,6.0,4.0,4.0
V,bcc,3.03,232.0,119.0,44.0,3.01,240.0,122.0,47.0,8.0,3.0,3.0
W,bcc,3.16,522.0,204.0,161.0,3.14,536.0,208.0,165.0,14.0,4.0,4.0
