id,agency,program,annual_usd_m,total_usd_m,period,award_size_usd_m,duration_years,tier,source_url,source_doc,notes
mgi-cumulative,Multi-agency,Materials Genome Initiative (cumulative),,250,2011-2024,,, verified,https://www.mgi.gov/,docs/funding_landscape_report.md,"OSTP-coordinated cumulative federal MGI investment exceeded $250M since 2011 launch."
nsf-dmref,NSF,DMREF (Designing Materials to Revolutionize and Engineer our Future),50,,2025,1.75,4,verified,https://www.nsf.gov/funding/pgm_summ.jsp?pims_id=505073,docs/funding_landscape_report.md,"FY25 awards exceed $50M; per-award $1.5-2.0M over 4 years; partner agencies DOE-EERE/ONR/AFRL/NIST/Army DEVCOM"
nsf-mip,NSF,Materials Innovation Platforms,5,30,2025-2031,24,6,verified,https://www.nsf.gov/funding/pgm_summ.jsp?pims_id=505228,docs/funding_landscape_report.md,"Third MIP competition; 1-3 awards from $30M total at $18-30M each; alloys/amorphous/composites focus"
nsf-cssi,NSF,CSSI (Cyberinfrastructure for Sustained Scientific Innovation),,,2025,1.25,4,verified,https://www.nsf.gov/funding/pgm_summ.jsp?pims_id=505505,docs/funding_landscape_report.md,"Awards $0.5M-$2M over 3-5 years; supports open-source research software including viz platforms"
nsf-sbir-1,NSF,America's Seed Fund SBIR Phase I,,,2025,0.305,1,verified,https://seedfund.nsf.gov/,docs/funding_landscape_report.md,"Up to $305K, 6-18 months; AM/M/AI/CH topic codes apply"
nsf-sbir-2,NSF,America's Seed Fund SBIR Phase II,,,2025,1.25,2,verified,https://seedfund.nsf.gov/,docs/funding_landscape_report.md,"Up to $1.25M; supplements available"
doe-bes-cms,DOE BES,Computational Materials Sciences,30,,2025,2.5,4,verified,https://science.osti.gov/bes/,docs/funding_landscape_report.md,"$2-3M per year, 3-5 year duration, 2-4 awards per cycle"
doe-bes-ccs,DOE BES,Computational Chemical Sciences,19,,2026,2,3,verified,https://science.osti.gov/bes/,docs/funding_landscape_report.md,"FY26 anticipated $19M for 3-year projects; $2M/yr ceiling"
doe-ascr-express,DOE ASCR,EXPRESS Exploratory Research,8,16,2024-2026,0.6,2,verified,https://science.osti.gov/ascr/,docs/funding_landscape_report.md,"$200K-$1M per award; ~20 awards from $16M; data/viz/analytics for extreme scale"
doe-sbir-1,DOE,SBIR/STTR Phase I,,,2025,0.25,1,verified,https://www.energy.gov/science/sbir-sttr,docs/funding_landscape_report.md,"$200-300K proof of concept; AI/ML for materials discovery topics open"
doe-sbir-2,DOE,SBIR/STTR Phase II,,,2025,1,2,verified,https://www.energy.gov/science/sbir-sttr,docs/funding_landscape_report.md,"Up to $1M for prototype development"
darpa-equips,DARPA,EQUiPS Enabling Quantification of Uncertainty in Physical Systems,,,2014-2019,,5,verified,https://www.darpa.mil/program/enabling-quantification-of-uncertainty-in-physical-systems,docs/funding_landscape_report.md,"Foundational program; established multi-fidelity UQ; technology now transitioning to industry"
darpa-prime,DARPA,SURGE/PRIME Predictive Real-Time Intelligence for Metal Endurance,,10.3,2022-2026,10.3,4,verified,https://www.darpa.mil/,docs/funding_landscape_report.md,"$10.3M to U Michigan; UQ for additive manufacturing qualification; transition imminent"
arpa-e-magnito,ARPA-E,MAGNITO Magnetic Materials,,,2024-2027,,3,verified,https://arpa-e.energy.gov/,docs/funding_landscape_report.md,"AI/ML accelerated rare-earth-free permanent magnets"
arpa-e-catalchem,ARPA-E,CATALCHEM-E,,,2026,,2,verified,https://arpa-e.energy.gov/,docs/funding_landscape_report.md,"Full apps due Jan 26 2026; SBIR/STTR mechanism; goal: 10-15 years of catalysis R&D in 12-18 months"
nairr-pilot,NSF / multi-agency,National AI Research Resource Pilot,,2600,2024-2026,,2,verified,https://nairrpilot.org/,docs/funding_landscape_report.md,"$2.6B authorized under CHIPS and Science Act; GPU clusters + curated materials corpora"
nist-mml,NIST,Materials Measurement Laboratory,15,,2025,,1,verified,https://www.nist.gov/mml,docs/funding_landscape_report.md,"~$15M annual; standards, reference data, autonomous lab coordination"
afosr-broad,AFOSR,Broad Agency Announcement (materials portfolio),,,2025-2026,0.5,3,verified,https://www.afrl.af.mil/AFOSR/,docs/funding_landscape_report.md,"AFRL-DEVCOM partner agency for DMREF; multiple BAA channels"
onr-sci-tech,ONR,Naval Materials Science & Technology,,,2025-2026,1,3,verified,https://www.onr.navy.mil/,docs/funding_landscape_report.md,"DMREF partner; corrosion/fatigue/structural materials emphasis"
