id,company,sector,outcome,year,valuation_usd_m,arr_usd_m,multiple,tier,source_url,notes
schrodinger-ipo,Schrodinger,Materials + drug discovery software,IPO (NASDAQ:SDGR),2020,3000,80,37,disclosed,https://ir.schrodinger.com/,"IPO at ~$3B; FY19 software revenue ~$80M; subsequently traded $2-7B"
recursion-ipo,Recursion Pharmaceuticals,AI for drug discovery,IPO (NASDAQ:RXRX),2021,5000,30,165,disclosed,https://ir.recursion.com/,"IPO at $5B on minimal product revenue; AI-for-science premium"
ansys-acquisition,ANSYS,Engineering simulation,Acquired by Synopsys,2024,35000,2200,16,disclosed,https://www.synopsys.com/company/legal/safe-harbor.html,"$35B acquisition close 2025; benchmark for simulation incumbents"
altair-acquisition,Altair Engineering,Engineering simulation,Acquired by Siemens,2024,10000,640,15,disclosed,https://www.siemens.com/global/en/products/automation/industry-software.html,"$10B acquisition; mature simulation business"
materialise-listed,Materialise NV,3D printing software,Public (NASDAQ:MTLS),2014-2025,400,250,1.6,disclosed,https://investors.materialise.com/,"Slower growth; lower multiple; reference for asset-heavy adjacent"
citrine-c,Citrine Informatics,Materials informatics,Series C,2022,200,15,13,triangulated,https://citrine.io/,"Reported $25M Series C 2022; cumulative ~$100M raised; valuation triangulated"
orbital-a,Orbital Materials,Foundation MLIP,Series A,2024,80,2,40,disclosed,https://orbitalmaterials.com/,"$20M Series A 2024; pre-revenue valuation reflects MLIP IP and team"
matlas-seed,Materials Lab (Matlas),Materials startup composite,Seed,2023,15,0,,triangulated,,"Composite of recent materials startup seeds: $3-15M post-money typical"
deepmind-gnome,DeepMind GNoME,Materials discovery (research),Internal Google research,2023,,,,disclosed,https://deepmind.google/discover/blog/millions-of-new-materials-discovered-with-deep-learning/,"Strategic research; not commercialized but signals platform value to hyperscalers"
microsoft-azure-quantum,Microsoft Azure Quantum Elements,Hyperscaler launch,Internal Microsoft launch,2023,,,,disclosed,https://azure.microsoft.com/,"Strategic launch by hyperscaler; signals materials-as-platform thesis"
synopsys-revenue,Synopsys (parent comp),EDA,Public (NASDAQ:SNPS),2024,90000,7000,13,disclosed,https://www.synopsys.com/company/investor-relations.html,"Anchor public comp: EDA software durability premium; materials simulation could trade similarly with scale"
cadence-revenue,Cadence Design Systems,EDA,Public (NASDAQ:CDNS),2024,75000,4500,17,disclosed,https://www.cadence.com/en_US/home/company/investor-relations.html,"EDA public comp; ~17x revenue trading multiple"
