id,sector,subsegment,metric,value_usd_b,year,tier,source_url,notes
semi-global-rev-2024,Compute,Semiconductor industry,Global revenue,627,2024,verified,https://www.semiconductors.org/wp-content/uploads/2024/12/SIA-2024-Factbook.pdf,"SIA 2024 Factbook: global semi industry revenue $627B in 2024"
semi-global-rev-2030,Compute,Semiconductor industry,Global revenue (forecast),1100,2030,disclosed,https://www.mckinsey.com/industries/semiconductors/our-insights/the-semiconductor-decade-a-trillion-dollar-industry,"McKinsey 2022/24: semiconductor industry on track to reach ~$1T by 2030"
semi-ai-compute-2025,Compute,AI compute spend,Datacenter AI revenue,200,2025,disclosed,https://nvidianews.nvidia.com/news,"NVIDIA datacenter run rate ~$110B Q3 FY25 implies ~$200B+/yr industry AI compute spend"
semi-capex-leading-fab,Compute,Leading-edge fabs,Per-fab capex N2/N3,30,2026,disclosed,https://investor.tsmc.com/static/annualReports/2023/english/index.html,"TSMC 2023 annual report: leading-edge fab capex $25-35B per facility"
semi-eda-tam,Compute,EDA software,EDA + IP global TAM,15,2024,verified,https://www.semiconductors.org/wp-content/uploads/2024/12/SIA-2024-Factbook.pdf,"SIA factbook: EDA + design IP ~$15B segment in 2024"
semi-materials-tam,Compute,Semiconductor materials,Wafer + process materials TAM,72,2024,disclosed,https://www.semi.org/en/news-media-press/semi-press-releases,"SEMI 2024 materials market report: $72B annual semi materials TAM"
semi-node-delay-cost,Compute,Cost of materials delay,NPV of 6-mo node slip,40,2025,triangulated,https://www.bain.com/insights/semiconductor-industry/,"Bain / BCG semi reports: 6-month leading-edge node slip = $30-50B industry NPV cost"
chips-act-fab-capex,Compute,US fab buildout,CHIPS Act incentivized fab capex,447,2030,disclosed,https://www.commerce.gov/news/press-releases/2024/12/biden-harris-administration-announces-historic-fully-completed-final-chips,"Commerce Dept Dec 2024: $447B in CHIPS-incentivized US semiconductor capex announced through 2030"
ev-global-rev-2024,Travel,Electric vehicle market,Global EV revenue,500,2024,verified,https://www.iea.org/reports/global-ev-outlook-2024,"IEA Global EV Outlook 2024: ~17M EVs sold globally; ~$500B revenue at avg ASP"
ev-global-rev-2030,Travel,Electric vehicle market,Global EV revenue (forecast),1500,2030,disclosed,https://www.iea.org/reports/global-ev-outlook-2024,"IEA Stated Policies Scenario: ~45M EVs/yr by 2030; ~$1.5T revenue"
battery-global-rev-2024,Travel,Battery cells,Global Li-ion battery market,130,2024,disclosed,https://about.bnef.com/blog/global-energy-storage-market-records-biggest-jump-yet/,"BloombergNEF 2024: global Li-ion battery market ~$130B 2024"
battery-global-rev-2030,Travel,Battery cells,Global Li-ion battery market (forecast),400,2030,disclosed,https://about.bnef.com/long-term-electric-vehicle-outlook/,"BNEF Long-Term EV Outlook 2024: $400B global battery market by 2030"
ira-battery-capex,Travel,US battery manufacturing,IRA-incentivized battery capex,300,2030,disclosed,https://www.whitehouse.gov/cleanenergy/inflation-reduction-act-guidebook/,"$300B+ in announced US battery cell + materials capex through 2030 per Treasury IRA tracking"
