id,company,category,revenue_usd_b,ev_usd_b,ev_revenue_x,ecosystem_value_usd_b,capture_rate_pct,year,tier,source,notes
github,GitHub,Developer platform,1.0,7.5,7.5,5000,0.020,2018,disclosed,"Microsoft acquisition 2018 $7.5B; revenue ~$1B at acquisition; serves $5T+ global software economy","The canonical 'platform infra captures 0.02% of ecosystem' anchor. Acquired pre-IPO so the multiple reflects strategic premium."
huggingface,Hugging Face,ML model hub,0.2,4.5,22.5,200,0.100,2024,disclosed,"$4.5B Series D 2023 (Aug); $200M ARR estimated 2024; AI ecosystem ~$200B addressable","ML platform that became the canonical hub. 0.1% capture rate of ecosystem value; high multiple due to platform position."
cloudflare,Cloudflare,Internet infra,1.5,30.0,20.0,1000,0.150,2024,disclosed,"NYSE:NET; 2024 revenue ~$1.5B; market cap ~$30B; serves the global web traffic value chain","Mid-tier infra platform; 0.15% capture rate. Useful as a 'mature public infra' comp."
datadog,Datadog,Observability infra,2.5,40.0,16.0,1000,0.250,2024,disclosed,"NASDAQ:DDOG; 2024 revenue ~$2.5B; market cap ~$40B; serves cloud infra spend","Observability is the cleanest analog to Lupine's audit substrate role. 0.25% capture rate of cloud spend it observes."
snowflake,Snowflake,Data platform,3.5,70.0,20.0,500,0.700,2024,disclosed,"NASDAQ:SNOW; 2024 revenue ~$3.5B; market cap ~$70B; cloud data warehouse market","Data platform comp; high capture rate because directly transactional, not observability."
mongodb,MongoDB,Data infra,2.0,30.0,15.0,400,0.500,2024,disclosed,"NASDAQ:MDB; ~$2B revenue; ~$30B market cap; database market","Database platform comp; transactional rather than substrate."
shopify,Shopify,Commerce platform,7.0,150.0,21.4,3000,0.230,2024,disclosed,"NYSE:SHOP; ~$7B revenue; ~$150B market cap; processes ~$300B GMV across $3T+ commerce","Platform-as-rails comp; takes a small % of huge GMV."
ansys,ANSYS,Engineering simulation,2.2,35.0,15.9,500,0.440,2024,disclosed,"Synopsys acquisition Jan 2024 $35B close 2025; ~$2.2B revenue; engineering simulation served","Most-direct comp for engineering-simulation platform exit. Used as the math floor anchor; here it is the lower-bound platform comp."
synopsys,Synopsys,EDA platform,7.0,90.0,12.9,500,1.400,2024,disclosed,"NASDAQ:SNPS; ~$7B revenue; ~$90B market cap; serves $500B+ semi industry design","EDA is the only mature 'audit + simulation substrate' that has fully consolidated. ~1.4% capture of semi design productivity."
cadence,Cadence,EDA platform,4.5,75.0,16.7,500,0.900,2024,disclosed,"NASDAQ:CDNS; ~$4.5B revenue; ~$75B market cap","Cadence + Synopsys split the EDA platform; combined ~2.3% capture of semi design productivity."
linux-foundation,Linux Foundation,Open infra (governance),0.2,0.0,0.0,10000,0.002,2024,verified,"Linux Foundation 2023 annual report ~$200M revenue; underlying ecosystem ~$10T+ enabled","Open-source platform comp where revenue is governance/conferences but ecosystem value is enormous. Floor capture rate."
median-platform-infra,Median platform infrastructure,benchmark,,,17.5,,0.220,2024,projection,"Median EV/Rev across GitHub/HuggingFace/Cloudflare/Datadog/Snowflake/MongoDB/Shopify/Cadence; median capture rate","Median EV/Rev across modern platform infra: ~17.5x. Median capture rate (excluding LinuxFoundation outlier and Synopsys ceiling): ~0.22%."
median-eda-mature,Median EDA mature platform,benchmark,,,14.4,,1.150,2024,projection,Median of Synopsys + Cadence + ANSYS,"Mature simulation/audit platform median: ~14.4x EV/Rev, ~1.15% capture rate. The 'what audit substrate looks like fully consolidated' anchor."
