id,line_item,scenario,fy2026,fy2027,fy2028,fy2029,fy2030,unit,tier,notes
rev-bear,Total revenue (bear),bear,250,1500,4500,9000,15000,USD k,projection,"Slow pilot conversion; 1 paid industry pilot/year average; no defense direct contract"
rev-base,Total revenue (base),base,350,3700,13650,29000,50400,USD k,projection,"Mirrors projections_base.csv"
rev-bull,Total revenue (bull),bull,500,7500,28000,72000,160000,USD k,projection,"Defense program lands FY27; 2 enterprise deployments by FY28; sovereignty mandate accelerates academic adoption"
ebitda-bear,EBITDA (bear),bear,-2400,-3800,-2500,400,3500,USD k,projection,"Cash burn exceeds plan; bridge required FY28"
ebitda-base,EBITDA (base),base,-2100,-1820,2600,10200,22500,USD k,projection,"Mirrors projections_base.csv"
ebitda-bull,EBITDA (bull),bull,-1900,-200,7000,28000,72000,USD k,projection,"Operating leverage on enterprise + defense ACV; minimal hiring beyond base case until FY29"
arr-end-bear,Ending ARR (bear),bear,500,3000,8000,15000,22000,USD k,projection,"Maintenance trajectory; not venture-scale"
arr-end-base,Ending ARR (base),base,800,5200,18500,38500,65000,USD k,projection,"Mirrors base"
arr-end-bull,Ending ARR (bull),bull,1500,11000,38000,90000,200000,USD k,projection,"Hits $200M ARR by FY30; supports IPO comp set with Schrodinger / Recursion / RELX-style"
hc-bear,Total FTEs (bear),bear,7,11,16,22,30,FTE,projection,"Hiring slowed; runway preserved"
hc-base,Total FTEs (base),base,8,16,28,43,61,FTE,projection,"Mirrors base"
hc-bull,Total FTEs (bull),bull,10,22,40,65,100,FTE,projection,"Aggressive hire; 8M raise extended by Series A FY28"
runway-bear,Months runway from FY26 raise,bear,,,,,18,months,projection,"$8M / ~$450K monthly burn = 18 months; bridge or efficient pivot required"
runway-base,Months runway from FY26 raise,base,,,,,28,months,projection,"$8M / ~$285K avg burn first 24 months; sufficient to milestone-driven Series A"
runway-bull,Months runway from FY26 raise,bull,,,,,36,months,projection,"Revenue cushions burn; raise on terms FY28 at higher valuation"
