id,segment,subsegment,population_count,unit,annual_value_usd_m,tier,source_url,source_doc,notes
mp-corpus,Materials database,Materials Project computed entries,180000,materials,,verified,https://next-gen.materialsproject.org/,docs/funding_landscape_report.md,"~150K computed materials per 2025 disclosure; ~180K including derived datasets"
mp-experimental,Materials database,Materials Project experimental references,100000,structures,,verified,https://next-gen.materialsproject.org/,docs/funding_landscape_report.md,"~100K experimental structure references"
jarvis-dft,Materials database,JARVIS-DFT total,90000,materials,,verified,https://jarvis.nist.gov/,docs/KEY_FINDINGS_SUMMARY.md,"~90K materials with ~17.4K having complete phonon data"
oqmd,Materials database,Open Quantum Materials Database,1100000,materials,,verified,https://oqmd.org/,docs/funding_landscape_report.md,"Comprehensive DFT coverage; >1M unique structures"
aflow,Materials database,AFLOW,3500000,calculations,,verified,https://aflow.org/,docs/funding_landscape_report.md,"~3.5M high-throughput DFT calculations as of 2024 disclosure"
openkim-models,Potentials,OpenKIM archived potentials,500,models,,verified,https://openkim.org/,docs/KEY_FINDINGS_SUMMARY.md,"500+ archived interatomic potentials with property tests"
mlip-foundation,Potentials,Foundation MLIP family count (MACE/NequIP/Allegro/MatterSim/ORB/SevenNet/eqV2/OMat24),8,model families,,verified,https://arxiv.org/list/cond-mat.mtrl-sci/recent,docs/KEY_FINDINGS_SUMMARY.md,"Eight major foundation MLIP families publicly released as of 2025-2026"
lammps-users-conservative,Users,LAMMPS active users (conservative),50000,researchers,,triangulated,https://www.lammps.org/,,"Founder estimate from publication counts and tutorial enrollment; the deck's 300K is upper-bound including students/single-use; we use 50K as defensible active researcher base"
lammps-users-deck,Users,LAMMPS users (deck claim),300000,researchers,,directional,,lupine-site/deck.html,"Founder estimate as quoted on investor deck; not externally sourced. Use only in narrative, not in unit economics."
vasp-licenses,Users,VASP commercial license seats,4500,seats,,triangulated,https://www.vasp.at/,,"Founder estimate from VASP user community size (~4500-6000) at $4500/yr academic and $20K+/yr commercial"
vasp-license-academic,Pricing,VASP academic license per seat,1,seat,4.5,verified,https://www.vasp.at/info/legal/,lupine-site/deck.html,"$4500/yr academic per seat; commercial license is multi-tier and negotiated"
ovito-pro-license,Pricing,OVITO Pro per seat,1,seat,1.2,verified,https://www.ovito.org/about/ovito-pro/,,"~$1200/yr per seat list price for OVITO Pro single user; site licenses negotiated"
schrodinger-mat-revenue,Pricing,Schrodinger materials science segment revenue,1,company,80,disclosed,https://ir.schrodinger.com/,,"FY24 software materials science segment ~$80M (subset of total $200M+ software revenue)"
citrine-arr-est,Pricing,Citrine Informatics ARR (estimate),1,company,15,triangulated,https://citrine.io/,,"Founder/industry estimate; Citrine has not disclosed ARR but raised $25M Series C 2022 with disclosed enterprise customer count"
